Magyar név, latin name
Barna gyűrűstinóru,Suillus luteus
Barna tinóru,Imleria badia
Bronzos vargánya,Boletus aereus
Cseh kucsmagomba,Verpa bohemica
Csoportos tuskógomba,Desarmillaria tabescens
Dióízű galambgomba,Russula heterophylla
Erdőszéli csiperke,Agaricus arvensis
Fattyú kucsmagomba,Morchella semilibera
Fehér szarvasgomba,Choiromyces meandriformis
Fehértejű keserűgomba,Lactifluus piperatus
Fenyő-pereszke,Tricholoma terreum
Gumós tuskógomba,Armillaria lutea
Gyűrűs tuskógomba,Armillaria mellea
Halvány rókagomba,Cantharellus pallens
Hegyes kucsmagomba,Morchella deliciosa
Ízletes csiperke,Agaricus bitorquis
Ízletes kucsmagomba,Morchella esculenta
Ízletes rizike,Lactarius deliciosus
Ízletes vargánya,Boletus edulis
Júdásfülgomba,Auricularia auricula-judae
Karcsú őzlábgomba,Macrolepiota mastoidea
Kékhátú galambgomba,Russula cyanoxantha
Kései laskagomba,Pleurotus ostreatus
Lila pereszke,Lepista nuda
Lilatönkű pereszke,Lepista personata
Lucfenyvesi rizike,Lactarius deterrimus
Májusi pereszke,Calocybe gambosa
Mezei szegfűgomba,Marasmius oreades
Molyhos tinóru,Xerocomus subtomentosus
Nagy őzlábgomba,Macrolepiota procera
Nagyspórás csiperke,Agaricus crocodilinus
Nyárfa-érdestinóru,Leccinum duriusculum
Nyári laskagomba,Pleurotus pulmonarius
Nyári szarvasgomba,Tuber aestivum
Nyári vargánya,Boletus reticulatus
Ördögszekér-laskagomba,Pleurotus eryngii
Óriás pöfeteg,Langermannia gigantea
Pikkelyes pöfeteg,Lycoperdon utriforme
Ráncos galambgomba,Russula vesca
Rózsástövű fenyőtinóru,Suillus collinitus
Sárga gereben,Hydnum repandum
Sárga gévagomba,Laetiporus sulphureus
Sárga gyűrűstinóru,Suillus grevillei
Sárga rókagomba,Cantharellus cibarius
Sárgásvörös gereben,Hydnum rufescens
Sötét érdestinóru,Leccinellum pseudoscabrum
Sötét trombitagomba,Craterellus cornucopioides
Szemcsésnyelű fenyőtinóru,Suillus granulatus
Szürke rókagomba,Craterellus cinereus
Szürke tölcsérgomba,Clitocybe nebularis
Téli fülőke,Flammulina velutipes
Tölcséres rókagomba,Craterellus tubaeformis
Tölgyfa-érdestinóru,Leccinum aurantiacum
Változékony pöfeteg,Lycoperdon excipuliforme
Varashátú galambgomba,Russula virescens
Vörös érdestinóru,Leccinum albostipitatum
Vöröses nyálkásgomba,Chroogomphus rutilus
Vörösödőtejű rizike,Lactarius semisanguifluus
Vöröstejű rizike,Lactarius sanguifluus
Zöldülőtejű keserűgomba,Lactifluus glaucescens